name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,ID
Guy William Rodgers  ,1935/9/1,American  ,90,Milwaukee Bucks  ,,1,1958,Temple University  ,0,0,0,0,36
Vernon Maxwell,1965/9/12,American,60,Dallas Mavericks,Backcourt,2,1988,University of Florida,2,0,0,0,37
Tim Duncan,1976/4/25,American,50,San Antonio Spurs,Frontcourt,1,1997,Wake Forest University,5,2,0,0,38
Walter Berry ,1964/5/14,American  ,61, Panteras de Miranda,Frontcourt,14,1986,St. John's University  ,0,0,0,0,39
James Patrick Walsh  ,1930/8/29,American  ,95,Philadelphia Warriors  ,Frontcourt,0,0,Stanford University  ,0,0,1,0,40
Tony Lorenzo Delk  ,1974/1/28,American  ,51,New Mexico State,,16,1996,Kentucky  ,0,0,0,0,41
Calvin Ramsey  ,1937/7/13,American  ,88,New York Knicks  ,Frontcourt,13,1959,NYU  ,0,0,0,0,42
Gene Dyker Eugene Walter Dyker  ,1930/2/17,American  ,95,Milwaukee Hawks  ,Frontcourt,0,1953,  ,0,0,0,0,43
Derrick Chievous  ,1967/7/3,American  ,58,Cleveland Cavaliers  ,Frontcourt,16,1988,University of Missouri  ,0,0,0,0,44
Rik Smits  ,1966/8/23,Dutch  ,59,Indiana Pacers  ,Frontcourt,2,1988,Marist College  ,0,0,0,1,45
Anthony Edwards,2001/8/5,American,24,Minnesota Timberwolves,Backcourt,1,2020,Georgia,0,0,1,0,46
Harry Junior "The Horse" Gallatin  ,1927/4/26,American  ,98,Detroit Pistons  ,Frontcourt,20,1949,Northeast Missouri State Teachers' College  ,0,0,0,0,47
Jim Brasco  ,1931/2/3,American  ,94,Milwaukee Hawks  ,,1,1952,New York University  ,0,0,0,0,48
Darnell Hillman  ,1949/8/29,American,76,Golden State Warriors,Frontcourt,8,1971,San Jose State University  ,0,0,0,1,49
Larry Robinson,1951/6/2,Canadian,74,Senior Consultant to Hockey Operations for the St. Louis Blues,Frontcourt,0,0,,0,0,0,0,50
Nicholas William Calathes ,1989/2/7,Greek-American  ,36,AS Monaco  ,Backcourt,35,2009,University of Florida  ,0,0,0,0,51
Rod Derline  ,1952/3/11, ,73,Seattle SuperSonics  ,Backcourt,169,1974,Seattle University  ,0,0,0,0,52
Kurt Thomas  ,1972/10/4,American  ,53, New York Knicks,Frontcourt,0,1995,Texas Christian University  ,0,0,0,0,53
Kevin Wayne Durant,1988/9/29,American,37,Phoenix Suns,Frontcourt,2,2007,University of Texas at Austin,2,1,4,1,54
Aaron Williams  ,1971/10/2,American  ,54, Los Angeles Clippers,Frontcourt,0,0,Xavier University  ,,0,,,55
Nathaniel Thomas Huffman  ,1975/4/2,American  ,50,Toronto Raptors  ,,0,0,Central Michigan University  ,0,1,0,1,56
Fred Boyd  ,1950/6/13,American  ,75,New Orleans Jazz  ,,5,1972,Oregon State University  ,0,0,0,0,57
William Bedford  ,1963/12/14,American  ,61, Grand Rapids Hoops,Frontcourt,6,1986,Memphis State University  ,1,0,0,0,58
Steve Smith,1969/3/31,American,56,Charlotte Bobcats,Backcourt,5,1991,Michigan State,1,0,1,1,59
Shawn Christopher Respert  ,1972/2/6,American  ,53,  ,,8,1995,Michigan State  ,0,0,0,0,60
Rodney Strickland  ,1966/7/11,American  ,59, Houston Rockets,,19,1988,DePaul University  ,0,0,0,0,61
Elmer H. Behnke  ,1929/2/3,American  ,96,Milwaukee Hawks  ,,35,1951,Bradley University  ,0,0,0,0,62
Lamar Brandon Stevens  ,1997/7/9,American  ,28,Memphis Grizzlies  ,,0,0,Penn State Nittany Lions  ,0,0,0,0,63
Ronald Moore  ,1988/7/14,American  ,37,Debreceni EAC  ,Backcourt,,2010,Siena  ,0,0,0,0,64
Erazem Lorbek  ,1984/2/21,Slovenian  ,41, Petrol Olimpija,Frontcourt,2,2005,Michigan State University  ,0,0,0,0,65
Marvin "Mickey" Rottner  ,1919/3/23,American  ,106, Chicago Stags,Backcourt,0,0,Loyola University in Chicago  ,0,0,0,0,66
Hamidou Diallo  ,1998/7/31,American  ,27,Capital City Go-Go  ,,45,2018,University of Kentucky  ,0,0,0,0,67
"Dewayne ""D. J."" White, Jr.",1986/8/31,American,39,Piratas de Quebradillas,Frontcourt,29,2008,Indiana Hoosiers,0,0,0,0,68
Steve Kerr  ,1965/9/27,American  ,60,Golden State Warriors  ,Frontcourt,50,1988,University of Arizona  ,9,0,1,1,69
Gregory Clinton Foster  ,1968/10/3,American  ,57,Indiana Pacers  ,Frontcourt,35,1990,UTEP  ,1,0,0,0,70
Bill Hewitt  ,1944/8/8,American  ,81,Los Angeles Lakers,Frontcourt,0,0,University of Southern California  ,0,0,0,0,71
Joseph Xavier Forte  ,1981/3/23,American  ,44, Maccabi Tel Aviv,Backcourt,21,2001,University of North Carolina at Chapel Hill  ,0,0,0,0,72
Dino_Ra?a,1967/4/24,Croatian  ,58, Split,Frontcourt,40,1989, ,0,0,0,1,73
Mark Jeffrey Radford  ,1959/7/5,American  ,66,Seattle SuperSonics  ,,53,1981,Oregon State University  ,0,0,0,0,74
Kostas Papanikolaou,1990/7/31,Greek,35,Olympiacos,Frontcourt,48,2012,,0,0,0,0,75
Garry Witts Garrett David Witts  ,1959/7/3,American  ,66,Washington Bullets  ,,0,0, ,0,0,0,0,76
Jabari Dominic Walker  ,2002/7/30,American  ,23,Portland Trail Blazers  ,,57,2022,Colorado  ,0,0,0,0,77
Devontae Cacok  ,1996/10/8,American  ,29,Virtus Bologna  ,,0,0,UNC Wilmington  ,0,0,0,0,78
Brandon Goodwin  ,1995/10/2,American  ,30,Gigantes de Carolina  ,Backcourt,0,0,"UCF Knights, Florida Gulf Coast Eagles  ",0,0,0,0,79
Dick Rosenthal  ,1933/1/20,American  ,91,Fort Wayne Pistons  ,Frontcourt,1,1954,Notre Dame  ,0,0,0,0,80
Jamal Crawford  ,1980/3/20,American  ,45, Brooklyn Nets,,8,2000,University of Michigan  ,0,0,0,0,81
Jordan Lee Crawford  ,1988/10/23,American  ,37,Sichuan Blue Whales  ,,27,2010,"Indiana University, Xavier University  ",0,0,0,0,82
Tom Copa  ,1964/10/30,American  ,61, Libertas Livorno,,44,1987,Marquette  ,0,0,0,0,83
Kermit Washington  ,1951/9/17,American  ,74, Golden State Warriors,Frontcourt,5,1973,American University  ,0,0,0,0,84
Donyell Marshall  ,1973/5/18,American  ,52,Greensboro Swarm  ,,4,1994,University of Connecticut  ,0,0,0,0,85
Wayne Lavern Robinson,1930/1/14,American,95,Philadelphia Eagles,Frontcourt,8,1952,University of Minnesota,0,0,0,0,86
Greg Fillmore Gregory Paul Fillmore  ,1947/3/7,American  ,78,New York Knicks  ,Frontcourt,8,1970,Cheyney University of Pennsylvania  ,0,0,0,0,87
John Harding Lucas II  ,1953/10/31,American  ,72,Houston Rockets  ,Frontcourt,1,1976,University of Maryland  ,0,0,0,0,88
Dick Surhoff  ,1929/11/16,American,96,Milwaukee Hawks  ,,0,1952,"Long Island, John Marshall College  ",0,0,0,0,89
Garfield Smith  ,1945/11/18,American  ,80,Boston Celtics  ,,10,1968, ,0,0,0,0,90
Leroy Patrick Chollet  ,1925/3/5,American  ,100,Syracuse Nationals,Backcourt,1,1949,Loyola University New Orleans  ,0,0,0,0,91
Michael Carter-Williams  ,1991/10/10,American  ,34,Capitanes de Ciudad de M��xico  ,,11,2013,Syracuse Orange  ,0,0,0,0,92
Dennis Schr?der,1993/9/15,German,32,Brooklyn Nets,,17,2013,,0,0,0,1,93
Jack Parr  ,1936/3/13,American  ,89,Cincinnati Royals  ,,10,1958,Kansas State University  ,0,0,0,0,94
Monti Davis DaMon William "Monti" Davis  ,1958/7/26,American  ,67,Dallas Mavericks  ,Frontcourt,21,1980,Tennessee State University  ,0,0,0,0,95
Eric Johnson Jones  ,1966/2/7,American-Spanish  ,59,Utah Jazz  ,,0,0, ,0,0,0,0,96
Sidney Harold Tanenbaum,1925/10/8,American,100,Baltimore Bullets,Backcourt,0,0,New York University,0,0,0,0,97
Trayce Jackson-Davis  ,2000/2/22,American  ,25,Golden State Warriors  ,,57,2023,Indiana Hoosiers  ,0,0,0,0,98
Andre Jamal Drummond,1993/8/10,American,32,Philadelphia 76ers,Frontcourt,9,2012,University of Connecticut,0,0,0,1,99
Chavano Rainer "Buddy" Hield,1992/12/17,Bahamian,33,Golden State Warriors,,6,2016,Oklahoma Sooners,0,0,0,0,100
D'Angelo Russell,1996/2/23,American,29,Los Angeles Lakers,Backcourt,2,2015,Ohio State,0,0,0,0,101
Joel Hans Embiid,1994/3/16,Cameroonian-American,31,Philadelphia 76ers,,3,2014,University of Kansas,0,1,1,0,102
Paul Clifton Anthony George,1990/5/2,American,35,Philadelphia 76ers,,10,2010,Fresno State,0,0,1,0,103
Kyrie Andrew Irving,1992/3/23,American,33,Dallas Mavericks,,1,2011,Duke University,1,0,1,1,104
Jayson Christopher Tatum,1998/3/3,American,27,Boston Celtics,,3,2017,Duke University,1,1,2,0,105
Caleb Martin,1995/9/28,American,30,Philadelphia 76ers,Frontcourt,0,2019,"NC State Wolfpack, Nevada Wolf Pack",0,0,0,0,106
Andrew Christian Wiggins,1995/2/23,Canadian,30,Golden State Warriors,,1,2014,Kansas Jayhawks,1,0,0,0,107
Max Berning Fiedler,2001/2/26,American,24,Philadelphia 76ers,,,,Rice Owls,0,0,0,0,108
Ogugua "OG" Anunoby Jr.,1997/7/17,British,28,New York Knicks ,,23,2017,Indiana University,1,0,0,0,109
Jaylen Marselles Brown,1996/10/24,American,29,Boston Celtics,Backcourt,3,2016,"University of California, Berkeley",1,1,0,0,110
Victor Wembanyama,2004/1/4,French,21,San Antonio Spurs,Frontcourt,1,2023,,0,0,0,0,111
Jrue Randall Holiday  ,1990/6/12,American  ,35,Boston Celtics  ,,17,2009,UCLA  ,2,1,2,0,112
Austin Tyler Reaves,1998/5/29,American,27,Los Angeles Lakers,,0,2021,"Wichita State Shockers, Oklahoma Sooners",0,0,0,1,113
Kevin Wesley Love,1988/9/7,American,37,Miami Heat,,5,2008,UCLA,1,0,1,1,114
Giannis Sina Ugo Antetokounmpo,1994/12/6,Greek and Nigerian,31,Milwaukee Bucks,Frontcourt,15,2013,,1,2,0,0,115
Wardell Stephen Curry II  ,1988/3/14,American  ,37,Golden State Warriors  ,Backcourt,7,2009,Davidson  ,4,2,1,2,116
Alfred Joel Horford Reynoso,1986/6/3,Dominican,39,Boston Celtics,Frontcourt,3,2007,University of Florida,1,0,0,0,117
Tyler Christopher Herro,2000/1/20,American,25,Miami Heat,Backcourt,13,2019,University of Kentucky,0,0,0,0,118
Duncan McBryde Robinson,1994/4/22,American,31,Miami Heat,,0,0,"Williams College, University of Michigan",0,0,0,0,119
Kyle Forman Anderson,1993/9/20,American-Chinese,33,Golden State Warriors,,30,2014,UCLA,0,0,0,0,120
Cade Parker Cunningham,2001/9/25,American,24,Detroit Pistons,,1,2021,Oklahoma State,0,0,0,1,121
LeBron Raymone James Sr.,1984/12/30,American,40,Los Angeles Lakers,,1,2003,,4,4,3,0,122
Jimmy Butler III  ,1989/9/14,American  ,36,Miami Heat  ,,30,2011,Marquette University  ,0,0,1,0,123
Kevon Grant Looney,1996/2/6,American,29,Golden State Warriors,Frontcourt,30,2015,UCLA,3,0,0,0,124
Zachary Thomas LaVine,1995/3/10,American,30,Chicago Bulls,,13,2014,UCLA,0,0,1,0,125
Jaden Edward Dhananjay Ivey,2002/2/13,American,23,Detroit Pistons,,5,2022,Purdue,0,0,0,1,126
Kyle Terrell Lowry,1986/3/25,American,39,Philadelphia 76ers,Backcourt,24,2006,Villanova Wildcats,1,0,1,0,127
Michael Jeffrey Jordan,1963/2/17,American,62,"Chicago Bulls, Washington Wizards",Backcourt,3,1984,University of North Carolina,6,5,2,0,128
Devin Armani Booker,1996/10/30,American,28,Phoenix Suns,Backcourt,13,2015,Kentucky Wildcats,0,0,2,0,129
Draymond Jamal Green,1990/3/4,American,35,Golden State Warriors,Frontcourt,35,2012,Michigan State University,4,0,2,0,130
Zach Collins,1997/11/19,American,28,San Antonio Spurs,,10,2017,Gonzaga Bulldogs,0,0,0,0,131
Jonathan Malangu Kuminga,2002/10/6,Congolese,23,Golden State Warriors,Frontcourt,7,2021,,1,0,0,0,132
Lonzo Anderson Ball,1997/10/27,American,28,Chicago Bulls,Backcourt,2,2017,UCLA,0,0,0,0,133
Jaime Jaquez Jr.  ,2001/2/18,Mexican-American  ,24,Miami Heat  ,,18,2023,UCLA  ,0,0,0,0,134
Ausar XLNC Thompson,2003/1/30,American,22,Detroit Pistons,,5,2023,,0,0,0,0,135
Jalen Marquis Brunson,1996/8/31,American,29,New York Knicks,,33,2018,Villanova University,0,0,0,0,136
Shaquille Rashaun O'Neal,1972/3/6,American,53,Boston Celtics,Frontcourt,1,1992,Louisiana State University (LSU),4,1,1,1,137
Kobe Bean Bryant,1978/8/23,American,47,Los Angeles Lakers,Backcourt,13,1996,,5,1,2,0,138
Christopher Emmanuel Paul,1985/5/6,American,40,San Antonio Spurs,Backcourt,4,2005,Wake Forest University,0,1,2,0,139
Harrison Bryce Jordan Barnes,1992/5/30,American,33,San Antonio Spurs,,7,2012,North Carolina Tar Heels,1,0,1,0,140
Edrice Femi "Bam" Adebayo,1997/7/18,American,28,Miami Heat,,14,2017,University of Kentucky,0,0,2,0,141
